,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R1.3-M,R,FAIR
F1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F1-D,"nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","-0.01  CI=[nan, nan]","-0.01  CI=[nan, nan]","nan  CI=[nan, nan]","0.26 ** CI=[nan, nan]","0.22 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.31 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.25 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.03  CI=[nan, nan]","nan  CI=[nan, nan]","0.02  CI=[nan, nan]","0.03  CI=[nan, nan]","0.01  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.03  CI=[nan, nan]","0.03  CI=[nan, nan]","0.20 * CI=[nan, nan]"
F2a-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F2b-M,"nan  CI=[nan, nan]","-0.01  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.16  CI=[nan, nan]","nan  CI=[nan, nan]","0.95 *** CI=[0.87, 1.00]","-0.18 * CI=[-0.33, -0.01]","nan  CI=[nan, nan]","-0.36 *** CI=[-0.49, -0.19]","nan  CI=[nan, nan]","-0.23 ** CI=[-0.39, -0.06]","nan  CI=[nan, nan]","-0.32 *** CI=[-0.46, -0.18]","nan  CI=[nan, nan]","0.01  CI=[nan, nan]","-0.31 *** CI=[-0.44, -0.16]","0.16  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","-0.32 *** CI=[-0.46, -0.15]","-0.29 *** CI=[-0.45, -0.12]","0.20 * CI=[-0.02, 0.40]"
F3-M,"nan  CI=[nan, nan]","-0.01  CI=[nan, nan]","nan  CI=[nan, nan]","0.16  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.16  CI=[nan, nan]","-0.06  CI=[nan, nan]","nan  CI=[nan, nan]","-0.04  CI=[nan, nan]","nan  CI=[nan, nan]","-0.06  CI=[nan, nan]","nan  CI=[nan, nan]","-0.05  CI=[nan, nan]","nan  CI=[nan, nan]","0.01  CI=[nan, nan]","-0.04  CI=[nan, nan]","0.01  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","-0.05  CI=[nan, nan]","-0.05  CI=[nan, nan]","0.04  CI=[nan, nan]"
F4-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F,"nan  CI=[nan, nan]","0.26 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.95 *** CI=[0.87, 1.00]","0.16  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","-0.11  CI=[-0.29, 0.07]","nan  CI=[nan, nan]","-0.27 ** CI=[-0.45, -0.08]","nan  CI=[nan, nan]","-0.16  CI=[-0.34, 0.05]","nan  CI=[nan, nan]","-0.30 *** CI=[-0.45, -0.13]","nan  CI=[nan, nan]","0.01  CI=[nan, nan]","-0.29 *** CI=[-0.44, -0.14]","0.16  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","-0.30 *** CI=[-0.45, -0.16]","-0.27 ** CI=[-0.43, -0.10]","0.25 ** CI=[0.05, 0.44]"
A1-D,"nan  CI=[nan, nan]","0.22 ** CI=[nan, nan]","nan  CI=[nan, nan]","-0.18 * CI=[-0.33, -0.01]","-0.06  CI=[nan, nan]","nan  CI=[nan, nan]","-0.11  CI=[-0.29, 0.07]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.72 *** CI=[0.61, 0.83]","nan  CI=[nan, nan]","0.99 *** CI=[0.97, 0.99]","nan  CI=[nan, nan]","0.51 *** CI=[0.34, 0.65]","nan  CI=[nan, nan]","-0.18 * CI=[nan, nan]","0.45 *** CI=[0.24, 0.65]","0.06  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.51 *** CI=[0.35, 0.66]","0.50 *** CI=[0.33, 0.64]","0.72 *** CI=[0.63, 0.80]"
A1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A1.2,"nan  CI=[nan, nan]","0.31 *** CI=[nan, nan]","nan  CI=[nan, nan]","-0.36 *** CI=[-0.49, -0.19]","-0.04  CI=[nan, nan]","nan  CI=[nan, nan]","-0.27 ** CI=[-0.45, -0.08]","0.72 *** CI=[0.61, 0.83]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.82 *** CI=[0.73, 0.90]","nan  CI=[nan, nan]","0.77 *** CI=[0.64, 0.89]","nan  CI=[nan, nan]","0.06  CI=[nan, nan]","0.76 *** CI=[0.63, 0.87]","0.04  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.77 *** CI=[0.63, 0.89]","0.76 *** CI=[0.63, 0.88]","0.69 *** CI=[0.60, 0.77]"
