,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R1.3-M,R,FAIR
F1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F1-D,"nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.16  CI=[nan, nan]","-0.03  CI=[nan, nan]","nan  CI=[nan, nan]","0.30 * CI=[nan, nan]","0.42 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.62 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.45 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.28 * CI=[nan, nan]","nan  CI=[nan, nan]","0.09  CI=[nan, nan]","0.20  CI=[nan, nan]","0.07  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.28 * CI=[nan, nan]","0.20  CI=[nan, nan]","0.30 * CI=[nan, nan]"
F2a-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F2b-M,"nan  CI=[nan, nan]","0.16  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.30 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.98 *** CI=[0.94, 1.00]","0.28 * CI=[0.06, 0.49]","nan  CI=[nan, nan]","0.07  CI=[nan, nan]","nan  CI=[nan, nan]","0.27 * CI=[0.05, 0.47]","nan  CI=[nan, nan]","0.15  CI=[nan, nan]","nan  CI=[nan, nan]","0.32 ** CI=[0.09, 0.53]","0.33 ** CI=[0.11, 0.56]","0.67 *** CI=[0.48, 0.80]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.15  CI=[nan, nan]","0.60 *** CI=[0.35, 0.78]","0.85 *** CI=[0.69, 0.95]"
F3-M,"nan  CI=[nan, nan]","-0.03  CI=[nan, nan]","nan  CI=[nan, nan]","0.30 ** CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.32 ** CI=[nan, nan]","0.42 *** CI=[nan, nan]","nan  CI=[nan, nan]","-0.05  CI=[nan, nan]","nan  CI=[nan, nan]","0.39 *** CI=[nan, nan]","nan  CI=[nan, nan]","-0.05  CI=[nan, nan]","nan  CI=[nan, nan]","-0.12  CI=[nan, nan]","-0.12  CI=[nan, nan]","0.07  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","-0.05  CI=[nan, nan]","0.03  CI=[nan, nan]","0.24 * CI=[nan, nan]"
F4-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F,"nan  CI=[nan, nan]","0.30 * CI=[nan, nan]","nan  CI=[nan, nan]","0.98 *** CI=[0.94, 1.00]","0.32 ** CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.35 ** CI=[0.11, 0.54]","nan  CI=[nan, nan]","0.16  CI=[nan, nan]","nan  CI=[nan, nan]","0.34 ** CI=[0.09, 0.55]","nan  CI=[nan, nan]","0.14  CI=[nan, nan]","nan  CI=[nan, nan]","0.32 ** CI=[0.07, 0.53]","0.33 ** CI=[0.08, 0.54]","0.66 *** CI=[0.49, 0.78]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.14  CI=[nan, nan]","0.60 *** CI=[0.34, 0.77]","0.87 *** CI=[0.72, 0.96]"
A1-D,"nan  CI=[nan, nan]","0.42 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.28 * CI=[0.06, 0.49]","0.42 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.35 ** CI=[0.11, 0.54]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.68 *** CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[0.99, 1.00]","nan  CI=[nan, nan]","0.36 ** CI=[nan, nan]","nan  CI=[nan, nan]","-0.09  CI=[-0.34, 0.15]","0.09  CI=[-0.27, 0.41]","0.16  CI=[0.09, 0.23]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.36 ** CI=[nan, nan]","0.32 ** CI=[0.12, 0.52]","0.53 *** CI=[0.32, 0.68]"
A1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A1.2,"nan  CI=[nan, nan]","0.62 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.07  CI=[nan, nan]","-0.05  CI=[nan, nan]","nan  CI=[nan, nan]","0.16  CI=[nan, nan]","0.68 *** CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.73 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.57 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.14  CI=[nan, nan]","0.37 ** CI=[nan, nan]","0.11  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.57 *** CI=[nan, nan]","0.39 *** CI=[nan, nan]","0.47 *** CI=[nan, nan]"
