,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R1.3-M,R,FAIR
F1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F1-D,"nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.26  CI=[nan, nan]","0.56 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.47 ** CI=[nan, nan]","0.42 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.85 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.52 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.62 *** CI=[nan, nan]","0.83 *** CI=[nan, nan]","0.07  CI=[nan, nan]","0.58 *** CI=[nan, nan]","0.09  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.62 *** CI=[nan, nan]","0.52 *** CI=[nan, nan]","0.45 ** CI=[nan, nan]"
F2a-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F2b-M,"nan  CI=[nan, nan]","0.26  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.28  CI=[nan, nan]","nan  CI=[nan, nan]","0.94 *** CI=[0.78, 1.00]","0.56 *** CI=[0.28, 0.77]","nan  CI=[nan, nan]","0.28  CI=[nan, nan]","nan  CI=[nan, nan]","0.56 *** CI=[0.25, 0.78]","nan  CI=[nan, nan]","0.37 * CI=[0.10, 0.58]","0.37 * CI=[nan, nan]","0.23  CI=[nan, nan]","0.43 ** CI=[0.13, 0.69]","0.44 ** CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.37 * CI=[nan, nan]","0.52 *** CI=[0.26, 0.71]","0.89 *** CI=[0.74, 0.97]"
F3-M,"nan  CI=[nan, nan]","0.56 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.28  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.28  CI=[nan, nan]","0.24  CI=[nan, nan]","nan  CI=[nan, nan]","0.48 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.29  CI=[nan, nan]","nan  CI=[nan, nan]","0.35 * CI=[nan, nan]","0.68 *** CI=[nan, nan]","0.04  CI=[nan, nan]","0.34 * CI=[nan, nan]","0.05  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.35 * CI=[nan, nan]","0.29  CI=[nan, nan]","0.27  CI=[nan, nan]"
F4-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F,"nan  CI=[nan, nan]","0.47 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.94 *** CI=[0.78, 1.00]","0.28  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.63 *** CI=[0.36, 0.82]","nan  CI=[nan, nan]","0.46 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.65 *** CI=[0.40, 0.83]","nan  CI=[nan, nan]","0.49 *** CI=[0.26, 0.67]","0.39 * CI=[nan, nan]","0.24  CI=[nan, nan]","0.53 *** CI=[0.23, 0.73]","0.44 ** CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.49 *** CI=[0.27, 0.67]","0.62 *** CI=[0.42, 0.77]","0.95 *** CI=[0.89, 0.98]"
A1-D,"nan  CI=[nan, nan]","0.42 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.56 *** CI=[0.28, 0.77]","0.24  CI=[nan, nan]","nan  CI=[nan, nan]","0.63 *** CI=[0.36, 0.82]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.49 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.99 *** CI=[0.97, 1.00]","nan  CI=[nan, nan]","0.35 * CI=[0.04, 0.65]","0.34 * CI=[nan, nan]","-0.22  CI=[nan, nan]","0.19  CI=[-0.22, 0.55]","0.04  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.35 * CI=[-0.01, 0.64]","0.29  CI=[-0.04, 0.58]","0.64 *** CI=[0.37, 0.83]"
A1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A1.2,"nan  CI=[nan, nan]","0.85 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.28  CI=[nan, nan]","0.48 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.46 ** CI=[nan, nan]","0.49 *** CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.61 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.73 *** CI=[nan, nan]","0.69 *** CI=[nan, nan]","0.09  CI=[nan, nan]","0.65 *** CI=[nan, nan]","0.10  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.73 *** CI=[nan, nan]","0.61 *** CI=[nan, nan]","0.52 *** CI=[nan, nan]"
